    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     0:00 /sbin/init splash
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00 [rcu_gp]
      4 ?        I<     0:00 [rcu_par_gp]
      6 ?        I<     0:00 [kworker/0:0H-events_highpri]
      9 ?        I<     0:00 [mm_percpu_wq]
     10 ?        S      0:00 [rcu_tasks_rude_]
     11 ?        S      0:00 [rcu_tasks_trace]
     12 ?        S      0:00 [ksoftirqd/0]
     13 ?        I      0:13 [rcu_sched]
     14 ?        S      0:00 [migration/0]
     15 ?        S      0:00 [idle_inject/0]
     16 ?        S      0:00 [cpuhp/0]
     17 ?        S      0:00 [cpuhp/1]
     18 ?        S      0:00 [idle_inject/1]
     19 ?        S      0:00 [migration/1]
     20 ?        S      0:00 [ksoftirqd/1]
     22 ?        I<     0:00 [kworker/1:0H]
     23 ?        S      0:00 [cpuhp/2]
     24 ?        S      0:00 [idle_inject/2]
     25 ?        S      0:00 [migration/2]
     26 ?        S      0:00 [ksoftirqd/2]
     28 ?        I<     0:00 [kworker/2:0H-kblockd]
     29 ?        S      0:00 [cpuhp/3]
     30 ?        S      0:00 [idle_inject/3]
     31 ?        S      0:00 [migration/3]
     32 ?        S      0:00 [ksoftirqd/3]
     34 ?        I<     0:00 [kworker/3:0H-kblockd]
     35 ?        S      0:00 [cpuhp/4]
     36 ?        S      0:00 [idle_inject/4]
     37 ?        S      0:00 [migration/4]
     38 ?        S      0:00 [ksoftirqd/4]
     40 ?        I<     0:00 [kworker/4:0H-kblockd]
     41 ?        S      0:00 [cpuhp/5]
     42 ?        S      0:00 [idle_inject/5]
     43 ?        S      0:00 [migration/5]
     44 ?        S      0:00 [ksoftirqd/5]
     46 ?        I<     0:00 [kworker/5:0H-events_highpri]
     47 ?        S      0:00 [cpuhp/6]
     48 ?        S      0:00 [idle_inject/6]
     49 ?        S      0:00 [migration/6]
     50 ?        S      0:00 [ksoftirqd/6]
     52 ?        I<     0:00 [kworker/6:0H-events_highpri]
     53 ?        S      0:00 [cpuhp/7]
     54 ?        S      0:00 [idle_inject/7]
     55 ?        S      0:00 [migration/7]
     56 ?        S      0:00 [ksoftirqd/7]
     58 ?        I<     0:00 [kworker/7:0H-events_highpri]
     59 ?        S      0:00 [cpuhp/8]
     60 ?        S      0:00 [idle_inject/8]
     61 ?        S      0:00 [migration/8]
     62 ?        S      0:00 [ksoftirqd/8]
     64 ?        I<     0:00 [kworker/8:0H-events_highpri]
     65 ?        S      0:00 [cpuhp/9]
     66 ?        S      0:00 [idle_inject/9]
     67 ?        S      0:00 [migration/9]
     68 ?        S      0:00 [ksoftirqd/9]
     70 ?        I<     0:00 [kworker/9:0H-kblockd]
     71 ?        S      0:00 [cpuhp/10]
     72 ?        S      0:00 [idle_inject/10]
     73 ?        S      0:00 [migration/10]
     74 ?        S      0:00 [ksoftirqd/10]
     76 ?        I<     0:00 [kworker/10:0H-kblockd]
     77 ?        S      0:00 [cpuhp/11]
     78 ?        S      0:00 [idle_inject/11]
     79 ?        S      0:00 [migration/11]
     80 ?        S      0:00 [ksoftirqd/11]
     82 ?        I<     0:00 [kworker/11:0H-kblockd]
     83 ?        S      0:00 [kdevtmpfs]
     84 ?        I<     0:00 [netns]
     85 ?        I<     0:00 [inet_frag_wq]
     86 ?        S      0:00 [kauditd]
     90 ?        S      0:00 [khungtaskd]
     91 ?        S      0:00 [oom_reaper]
     92 ?        I<     0:00 [writeback]
     93 ?        S      0:02 [kcompactd0]
     94 ?        SN     0:00 [ksmd]
     95 ?        SN     0:00 [khugepaged]
    142 ?        I<     0:00 [kintegrityd]
    143 ?        I<     0:00 [kblockd]
    144 ?        I<     0:00 [blkcg_punt_bio]
    145 ?        I<     0:00 [tpm_dev_wq]
    146 ?        I<     0:00 [ata_sff]
    147 ?        I<     0:00 [md]
    148 ?        I<     0:00 [edac-poller]
    149 ?        I<     0:00 [devfreq_wq]
    150 ?        S      0:00 [watchdogd]
    152 ?        I<     0:00 [kworker/0:1H-kblockd]
    154 ?        S      0:00 [irq/25-AMD-Vi]
    157 ?        S      0:23 [kswapd0]
    158 ?        S      0:00 [ecryptfs-kthrea]
    160 ?        I<     0:00 [kthrotld]
    161 ?        S      0:00 [irq/26-aerdrv]
    162 ?        S      0:00 [irq/27-aerdrv]
    163 ?        S      0:00 [irq/28-aerdrv]
    164 ?        S      0:00 [irq/30-aerdrv]
    172 ?        I<     0:00 [acpi_thermal_pm]
    175 ?        I<     0:00 [vfio-irqfd-clea]
    176 ?        I<     0:00 [mld]
    177 ?        I<     0:00 [ipv6_addrconf]
    186 ?        I<     0:00 [kstrp]
    189 ?        I<     0:00 [zswap-shrink]
    190 ?        I<     0:00 [kworker/u65:0]
    197 ?        I<     0:00 [charger_manager]
    232 ?        I<     0:00 [kworker/5:1H-kblockd]
    244 ?        I<     0:00 [kworker/8:1H-kblockd]
    257 ?        I<     0:00 [cryptd]
    284 ?        S      0:00 [scsi_eh_0]
    285 ?        I<     0:00 [scsi_tmf_0]
    286 ?        S      0:00 [scsi_eh_1]
    287 ?        I<     0:00 [scsi_tmf_1]
    288 ?        S      0:00 [scsi_eh_2]
    289 ?        I<     0:00 [scsi_tmf_2]
    290 ?        S      0:00 [scsi_eh_3]
    291 ?        I<     0:00 [scsi_tmf_3]
    292 ?        S      0:00 [scsi_eh_4]
    293 ?        I<     0:00 [scsi_tmf_4]
    294 ?        S      0:00 [scsi_eh_5]
    295 ?        I<     0:00 [scsi_tmf_5]
    296 ?        S      0:00 [scsi_eh_6]
    297 ?        I<     0:00 [scsi_tmf_6]
    298 ?        S      0:00 [scsi_eh_7]
    299 ?        I<     0:00 [scsi_tmf_7]
    307 ?        S      0:00 [scsi_eh_8]
    308 ?        I<     0:00 [scsi_tmf_8]
    310 ?        I<     0:00 [amd_iommu_v2]
    312 ?        S      1:33 [gfx]
    313 ?        S      0:00 [comp_1.0.0]
    314 ?        S      0:00 [comp_1.1.0]
    315 ?        S      0:00 [comp_1.2.0]
    316 ?        S      0:00 [comp_1.3.0]
    317 ?        S      0:00 [comp_1.0.1]
    318 ?        S      0:00 [comp_1.1.1]
    319 ?        S      0:00 [comp_1.2.1]
    320 ?        S      0:00 [comp_1.3.1]
    321 ?        S      0:00 [sdma0]
    322 ?        S      0:00 [sdma1]
    323 ?        S      0:00 [uvd]
    324 ?        S      0:00 [uvd_enc0]
    325 ?        S      0:00 [uvd_enc1]
    326 ?        S      0:00 [vce0]
    327 ?        S      0:00 [vce1]
    328 ?        S      0:00 [vce2]
    329 ?        I<     0:00 [kworker/7:1H-kblockd]
    331 ?        S      0:00 [card0-crtc0]
    332 ?        S      0:00 [card0-crtc1]
    333 ?        S      0:00 [card0-crtc2]
    334 ?        S      0:00 [card0-crtc3]
    335 ?        S      0:00 [card0-crtc4]
    336 ?        S      0:00 [card0-crtc5]
    337 ?        I<     0:00 [kworker/4:1H-kblockd]
    340 ?        I<     0:00 [kworker/1:1H-kblockd]
    358 ?        I<     0:00 [kworker/6:1H-kblockd]
    388 ?        I<     0:00 [kworker/9:1H-kblockd]
    402 ?        S      0:01 [jbd2/sda2-8]
    403 ?        I<     0:00 [ext4-rsv-conver]
    418 ?        I<     0:00 [kworker/3:1H-kblockd]
    424 ?        I<     0:00 [kworker/11:1H-kblockd]
    433 ?        I<     0:00 [kworker/10:1H-kblockd]
    447 ?        I<     0:00 [kworker/2:1H-kblockd]
    452 ?        S<s    0:00 /lib/systemd/systemd-journald
    486 ?        Ss     0:00 /lib/systemd/systemd-udevd
    551 ?        S      0:00 [ccp-1-q2]
    552 ?        S      0:00 [ccp-1-q3]
    553 ?        S      0:00 [ccp-1-q4]
    715 ?        Ss     0:01 /lib/systemd/systemd-resolved
    716 ?        Ssl    0:00 /lib/systemd/systemd-timesyncd
    718 ?        Ss     0:00 /usr/sbin/haveged --Foreground --verbose=1
    726 ?        Ssl    0:00 /usr/lib/accountsservice/accounts-daemon
    727 ?        Ss     0:00 /usr/sbin/acpid
    731 ?        Ss     0:00 avahi-daemon: running [dongsub-desktop.local]
    733 ?        Ss     0:00 /usr/sbin/cron -f -P
    734 ?        Ss     0:04 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    737 ?        Ssl    0:00 /usr/sbin/NetworkManager --no-daemon
    747 ?        Ssl    0:00 /usr/sbin/irqbalance --foreground
    748 ?        Ss     0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
    749 ?        Ssl    0:10 /usr/libexec/polkitd --no-debug
    750 ?        Ssl    0:00 /usr/sbin/rsyslogd -n -iNONE
    751 ?        Ss     0:00 /usr/sbin/smartd -n
    755 ?        Ss     0:00 /lib/systemd/systemd-logind
    757 ?        Ssl    0:01 /usr/libexec/udisks2/udisksd
    758 ?        Ss     0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
    762 ?        S      0:00 avahi-daemon: chroot helper
    829 ?        Ss     0:00 /usr/sbin/cupsd -l
    832 ?        Ssl    0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
    840 ?        Ssl    0:00 /usr/sbin/ModemManager
    864 ?        Ssl    0:00 /usr/bin/sddm
    878 ?        S      0:00 /usr/lib/cups/notifier/dbus dbus://
    896 tty1     Ssl+  23:55 /usr/lib/xorg/Xorg -nolisten tcp -auth /var/run/sddm/{0bdffeac-2546-434d-a235-54f9920c71fb} -background none -noreset -displayfd 17 -seat seat0 vt1
    955 ?        SNsl   0:00 /usr/libexec/rtkit-daemon
    983 ?        Ssl    0:00 /usr/libexec/upowerd
   1059 ?        Ssl    0:00 /usr/sbin/cups-browsed
   1061 ?        Ssl    0:00 /usr/bin/whoopsie -f
   1062 ?        Ss     0:00 /usr/sbin/kerneloops --test
   1066 ?        Ss     0:00 /usr/sbin/kerneloops
   1070 ?        S      0:00 /usr/lib/x86_64-linux-gnu/sddm/sddm-helper --socket /tmp/sddm-authce6a4b26-93ca-4303-b7fb-92177825bf49 --id 1 --start /usr/bin/startplasma-x11 --user dongsub
   1072 ?        Ss     0:00 /lib/systemd/systemd --user
   1073 ?        S      0:00 (sd-pam)
   1079 ?        S<sl   0:00 /usr/bin/pipewire
   1080 ?        S<sl   0:00 /usr/bin/pipewire-media-session
   1081 ?        S<sl   6:57 /usr/bin/pulseaudio --daemonize=no --log-target=journal
   1085 ?        Ss     0:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1088 ?        Sl     0:00 /usr/bin/kwalletd5 --pam-login 7 8
   1089 ?        Sl     0:00 /usr/bin/startplasma-x11
   1206 ?        Ss     0:00 /usr/bin/ssh-agent /usr/bin/im-launch /usr/bin/startplasma-x11
   1243 ?        Sl     0:00 /usr/libexec/pulse/gsettings-helper
   1324 ?        S      0:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/start_kdeinit
   1325 ?        Ss     0:00 kdeinit5: Running...
   1326 ?        Sl     0:01 /usr/lib/x86_64-linux-gnu/libexec/kf5/klauncher --fd=9
   1339 ?        Sl     0:04 /usr/bin/kded5
   1343 ?        Sl    11:54 /usr/bin/kwin_x11
   1350 ?        Ssl    0:00 /usr/libexec/dconf-service
   1355 ?        S      0:00 /usr/bin/xsettingsd
   1381 ?        Sl     0:01 /usr/bin/ksmserver
   1382 ?        Ssl    0:01 /usr/bin/kglobalaccel5
   1386 ?        Ssl    0:01 /usr/lib/x86_64-linux-gnu/libexec/kactivitymanagerd
   1395 ?        Sl     0:01 /usr/lib/x86_64-linux-gnu/libexec/org_kde_powerdevil
   1409 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/libexec/polkit-kde-authentication-agent-1
   1411 ?        Sl     2:52 /usr/bin/plasmashell
   1413 ?        Sl     0:00 /usr/bin/xembedsniproxy
