UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 13:07 ?        00:00:01 /sbin/init splash
root           2       0  0 13:07 ?        00:00:00 [kthreadd]
root           3       2  0 13:07 ?        00:00:00 [rcu_gp]
root           4       2  0 13:07 ?        00:00:00 [rcu_par_gp]
root           6       2  0 13:07 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 13:07 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 13:07 ?        00:00:00 [rcu_tasks_rude_]
root          11       2  0 13:07 ?        00:00:00 [rcu_tasks_trace]
root          12       2  0 13:07 ?        00:00:00 [ksoftirqd/0]
root          13       2  0 13:07 ?        00:00:15 [rcu_sched]
root          14       2  0 13:07 ?        00:00:00 [migration/0]
root          15       2  0 13:07 ?        00:00:00 [idle_inject/0]
root          16       2  0 13:07 ?        00:00:00 [cpuhp/0]
root          17       2  0 13:07 ?        00:00:00 [cpuhp/1]
root          18       2  0 13:07 ?        00:00:00 [idle_inject/1]
root          19       2  0 13:07 ?        00:00:00 [migration/1]
root          20       2  0 13:07 ?        00:00:00 [ksoftirqd/1]
root          22       2  0 13:07 ?        00:00:00 [kworker/1:0H-kblockd]
root          23       2  0 13:07 ?        00:00:00 [cpuhp/2]
root          24       2  0 13:07 ?        00:00:00 [idle_inject/2]
root          25       2  0 13:07 ?        00:00:00 [migration/2]
root          26       2  0 13:07 ?        00:00:00 [ksoftirqd/2]
root          28       2  0 13:07 ?        00:00:00 [kworker/2:0H-events_highpri]
root          29       2  0 13:07 ?        00:00:00 [cpuhp/3]
root          30       2  0 13:07 ?        00:00:00 [idle_inject/3]
root          31       2  0 13:07 ?        00:00:00 [migration/3]
root          32       2  0 13:07 ?        00:00:00 [ksoftirqd/3]
root          34       2  0 13:07 ?        00:00:00 [kworker/3:0H-events_highpri]
root          35       2  0 13:07 ?        00:00:00 [cpuhp/4]
root          36       2  0 13:07 ?        00:00:00 [idle_inject/4]
root          37       2  0 13:07 ?        00:00:00 [migration/4]
root          38       2  0 13:07 ?        00:00:00 [ksoftirqd/4]
root          40       2  0 13:07 ?        00:00:00 [kworker/4:0H-kblockd]
root          41       2  0 13:07 ?        00:00:00 [cpuhp/5]
root          42       2  0 13:07 ?        00:00:00 [idle_inject/5]
root          43       2  0 13:07 ?        00:00:00 [migration/5]
root          44       2  0 13:07 ?        00:00:00 [ksoftirqd/5]
root          46       2  0 13:07 ?        00:00:00 [kworker/5:0H-kblockd]
root          47       2  0 13:07 ?        00:00:00 [cpuhp/6]
root          48       2  0 13:07 ?        00:00:00 [idle_inject/6]
root          49       2  0 13:07 ?        00:00:00 [migration/6]
root          50       2  0 13:07 ?        00:00:00 [ksoftirqd/6]
root          52       2  0 13:07 ?        00:00:00 [kworker/6:0H-kblockd]
root          53       2  0 13:07 ?        00:00:00 [cpuhp/7]
root          54       2  0 13:07 ?        00:00:00 [idle_inject/7]
root          55       2  0 13:07 ?        00:00:00 [migration/7]
root          56       2  0 13:07 ?        00:00:00 [ksoftirqd/7]
root          58       2  0 13:07 ?        00:00:00 [kworker/7:0H-events_highpri]
root          59       2  0 13:07 ?        00:00:00 [cpuhp/8]
root          60       2  0 13:07 ?        00:00:00 [idle_inject/8]
root          61       2  0 13:07 ?        00:00:00 [migration/8]
root          62       2  0 13:07 ?        00:00:00 [ksoftirqd/8]
root          64       2  0 13:07 ?        00:00:00 [kworker/8:0H-events_highpri]
root          65       2  0 13:07 ?        00:00:00 [cpuhp/9]
root          66       2  0 13:07 ?        00:00:00 [idle_inject/9]
root          67       2  0 13:07 ?        00:00:00 [migration/9]
root          68       2  0 13:07 ?        00:00:00 [ksoftirqd/9]
root          70       2  0 13:07 ?        00:00:00 [kworker/9:0H-kblockd]
root          71       2  0 13:07 ?        00:00:00 [cpuhp/10]
root          72       2  0 13:07 ?        00:00:00 [idle_inject/10]
root          73       2  0 13:07 ?        00:00:00 [migration/10]
root          74       2  0 13:07 ?        00:00:00 [ksoftirqd/10]
root          76       2  0 13:07 ?        00:00:00 [kworker/10:0H-events_highpri]
root          77       2  0 13:07 ?        00:00:00 [cpuhp/11]
root          78       2  0 13:07 ?        00:00:00 [idle_inject/11]
root          79       2  0 13:07 ?        00:00:00 [migration/11]
root          80       2  0 13:07 ?        00:00:00 [ksoftirqd/11]
root          82       2  0 13:07 ?        00:00:00 [kworker/11:0H-events_highpri]
root          83       2  0 13:07 ?        00:00:00 [kdevtmpfs]
root          84       2  0 13:07 ?        00:00:00 [netns]
root          85       2  0 13:07 ?        00:00:00 [inet_frag_wq]
root          86       2  0 13:07 ?        00:00:00 [kauditd]
root          90       2  0 13:07 ?        00:00:00 [khungtaskd]
root          91       2  0 13:07 ?        00:00:00 [oom_reaper]
root          92       2  0 13:07 ?        00:00:00 [writeback]
root          93       2  0 13:07 ?        00:00:02 [kcompactd0]
root          94       2  0 13:07 ?        00:00:00 [ksmd]
root          95       2  0 13:07 ?        00:00:00 [khugepaged]
root         142       2  0 13:07 ?        00:00:00 [kintegrityd]
root         143       2  0 13:07 ?        00:00:00 [kblockd]
root         144       2  0 13:07 ?        00:00:00 [blkcg_punt_bio]
root         145       2  0 13:07 ?        00:00:00 [tpm_dev_wq]
root         146       2  0 13:07 ?        00:00:00 [ata_sff]
root         147       2  0 13:07 ?        00:00:00 [md]
