    PID TTY          TIME CMD
      1 ?        00:00:00 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 rcu_gp
      4 ?        00:00:00 rcu_par_gp
      6 ?        00:00:00 kworker/0:0H-events_highpri
      9 ?        00:00:00 mm_percpu_wq
     10 ?        00:00:00 rcu_tasks_rude_
     11 ?        00:00:00 rcu_tasks_trace
     12 ?        00:00:00 ksoftirqd/0
     13 ?        00:00:01 rcu_sched
     14 ?        00:00:00 migration/0
     15 ?        00:00:00 idle_inject/0
     16 ?        00:00:00 cpuhp/0
     17 ?        00:00:00 cpuhp/1
     18 ?        00:00:00 idle_inject/1
     19 ?        00:00:00 migration/1
     20 ?        00:00:00 ksoftirqd/1
     22 ?        00:00:00 kworker/1:0H-events_highpri
     23 ?        00:00:00 cpuhp/2
     24 ?        00:00:00 idle_inject/2
     25 ?        00:00:00 migration/2
     26 ?        00:00:00 ksoftirqd/2
     28 ?        00:00:00 kworker/2:0H-kblockd
     29 ?        00:00:00 cpuhp/3
     30 ?        00:00:00 idle_inject/3
     31 ?        00:00:00 migration/3
     32 ?        00:00:00 ksoftirqd/3
     34 ?        00:00:00 kworker/3:0H-events_highpri
     35 ?        00:00:00 cpuhp/4
     36 ?        00:00:00 idle_inject/4
     37 ?        00:00:00 migration/4
     38 ?        00:00:00 ksoftirqd/4
     40 ?        00:00:00 kworker/4:0H-kblockd
     41 ?        00:00:00 cpuhp/5
     42 ?        00:00:00 idle_inject/5
     43 ?        00:00:00 migration/5
     44 ?        00:00:00 ksoftirqd/5
     46 ?        00:00:00 kworker/5:0H-kblockd
     47 ?        00:00:00 cpuhp/6
     48 ?        00:00:00 idle_inject/6
     49 ?        00:00:00 migration/6
     50 ?        00:00:00 ksoftirqd/6
     52 ?        00:00:00 kworker/6:0H-kblockd
     53 ?        00:00:00 cpuhp/7
     54 ?        00:00:00 idle_inject/7
     55 ?        00:00:00 migration/7
     56 ?        00:00:00 ksoftirqd/7
     58 ?        00:00:00 kworker/7:0H-events_highpri
     59 ?        00:00:00 cpuhp/8
     60 ?        00:00:00 idle_inject/8
     61 ?        00:00:00 migration/8
     62 ?        00:00:00 ksoftirqd/8
     64 ?        00:00:00 kworker/8:0H-events_highpri
     65 ?        00:00:00 cpuhp/9
     66 ?        00:00:00 idle_inject/9
     67 ?        00:00:00 migration/9
     68 ?        00:00:00 ksoftirqd/9
     70 ?        00:00:00 kworker/9:0H-kblockd
     71 ?        00:00:00 cpuhp/10
     72 ?        00:00:00 idle_inject/10
     73 ?        00:00:00 migration/10
     74 ?        00:00:00 ksoftirqd/10
     76 ?        00:00:00 kworker/10:0H-events_highpri
     77 ?        00:00:00 cpuhp/11
     78 ?        00:00:00 idle_inject/11
     79 ?        00:00:00 migration/11
     80 ?        00:00:00 ksoftirqd/11
     82 ?        00:00:00 kworker/11:0H-events_highpri
     83 ?        00:00:00 kdevtmpfs
     84 ?        00:00:00 netns
     85 ?        00:00:00 inet_frag_wq
     86 ?        00:00:00 kauditd
     90 ?        00:00:00 khungtaskd
     91 ?        00:00:00 oom_reaper
     92 ?        00:00:00 writeback
     93 ?        00:00:00 kcompactd0
     94 ?        00:00:00 ksmd
     95 ?        00:00:00 khugepaged
    142 ?        00:00:00 kintegrityd
    143 ?        00:00:00 kblockd
    144 ?        00:00:00 blkcg_punt_bio
    145 ?        00:00:00 tpm_dev_wq
    146 ?        00:00:00 ata_sff
    147 ?        00:00:00 md
    148 ?        00:00:00 edac-poller
    149 ?        00:00:00 devfreq_wq
    150 ?        00:00:00 watchdogd
    152 ?        00:00:00 kworker/0:1H-kblockd
    154 ?        00:00:00 irq/25-AMD-Vi
    157 ?        00:00:00 kswapd0
    158 ?        00:00:00 ecryptfs-kthrea
    160 ?        00:00:00 kthrotld
    161 ?        00:00:00 irq/26-aerdrv
    162 ?        00:00:00 irq/27-aerdrv
    163 ?        00:00:00 irq/28-aerdrv
    164 ?        00:00:00 irq/30-aerdrv
    172 ?        00:00:00 acpi_thermal_pm
    173 ?        00:00:01 kworker/u64:2-ext4-rsv-conversion
    177 ?        00:00:00 vfio-irqfd-clea
    178 ?        00:00:00 mld
    179 ?        00:00:00 ipv6_addrconf
    188 ?        00:00:00 kstrp
    191 ?        00:00:00 zswap-shrink
    192 ?        00:00:00 kworker/u65:0
    199 ?        00:00:00 charger_manager
    232 ?        00:00:00 kworker/11:1H-kblockd
    248 ?        00:00:00 kworker/8:1H-kblockd
    253 ?        00:00:00 cryptd
    273 ?        00:00:00 scsi_eh_0
    274 ?        00:00:00 scsi_tmf_0
    275 ?        00:00:00 scsi_eh_1
    276 ?        00:00:00 scsi_tmf_1
    277 ?        00:00:00 scsi_eh_2
    278 ?        00:00:00 scsi_tmf_2
    279 ?        00:00:00 scsi_eh_3
    280 ?        00:00:00 scsi_tmf_3
    281 ?        00:00:00 scsi_eh_4
    282 ?        00:00:00 scsi_tmf_4
    283 ?        00:00:00 scsi_eh_5
    284 ?        00:00:00 scsi_tmf_5
    285 ?        00:00:00 scsi_eh_6
    286 ?        00:00:00 scsi_tmf_6
    287 ?        00:00:00 scsi_eh_7
    289 ?        00:00:00 scsi_tmf_7
    301 ?        00:00:00 scsi_eh_8
    302 ?        00:00:00 scsi_tmf_8
    313 ?        00:00:00 amd_iommu_v2
    316 ?        00:00:03 gfx
    317 ?        00:00:00 comp_1.0.0
    318 ?        00:00:00 comp_1.1.0
    319 ?        00:00:00 comp_1.2.0
    320 ?        00:00:00 comp_1.3.0
    321 ?        00:00:00 comp_1.0.1
    322 ?        00:00:00 comp_1.1.1
    323 ?        00:00:00 comp_1.2.1
    324 ?        00:00:00 comp_1.3.1
    325 ?        00:00:00 sdma0
    326 ?        00:00:00 sdma1
    327 ?        00:00:00 uvd
    328 ?        00:00:00 uvd_enc0
    329 ?        00:00:00 uvd_enc1
    330 ?        00:00:00 vce0
    331 ?        00:00:00 vce1
    332 ?        00:00:00 vce2
    333 ?        00:00:00 kworker/3:1H-kblockd
    335 ?        00:00:00 card0-crtc0
    336 ?        00:00:00 card0-crtc1
    337 ?        00:00:00 card0-crtc2
    338 ?        00:00:00 card0-crtc3
    339 ?        00:00:00 card0-crtc4
    340 ?        00:00:00 card0-crtc5
    359 ?        00:00:00 kworker/1:1H-kblockd
